timestamp,cmd_torque,cmd_torque_clamped,target_position,position,velocity,estimated_torque,valid
26.248003,0.107181,0.107181,0.000000,-3.923276,-2.007508,-0.255776,1
26.249004,0.150828,0.150828,0.000000,-3.924810,-1.806085,-0.242805,1
26.250003,0.188248,0.188248,0.000000,-3.926727,-1.924253,-0.203375,1
26.251003,0.216850,0.216850,0.000000,-3.928645,-1.796686,-0.180029,1
26.252004,0.234580,0.234580,0.000000,-3.930179,-1.671804,-0.227760,1
26.253004,0.240013,0.240013,0.000000,-3.932096,-1.643605,-0.164464,1
26.254003,0.232495,0.232495,0.000000,-3.933630,-1.806085,-0.134892,1
26.255011,0.211924,0.211924,0.000000,-3.935548,-1.630177,-0.161351,1
26.256007,0.179665,0.179665,0.000000,-3.937082,-1.583178,-0.111545,1
26.257009,0.136945,0.136945,0.000000,-3.938616,-1.653005,-0.120365,1
26.258008,0.086380,0.086380,0.000000,-3.940150,-1.687918,-0.031129,1
26.259007,0.030781,0.030781,0.000000,-3.941684,-1.577807,-0.096500,1
26.260008,-0.026528,-0.026528,0.000000,-3.943601,-1.593921,-0.063814,1
26.261008,-0.081687,-0.081687,0.000000,-3.944752,-1.360271,-0.077822,1
26.262005,-0.130775,-0.130775,0.000000,-3.946670,-1.612720,-0.021790,1
26.263003,-0.170217,-0.170217,0.000000,-3.948204,-1.572436,-0.049287,1
26.264003,-0.196364,-0.196364,0.000000,-3.949738,-1.671804,-0.054476,1
26.265006,-0.205884,-0.205884,0.000000,-3.951272,-1.557665,-0.076266,1
26.266003,-0.196057,-0.196057,0.000000,-3.952806,-1.655690,-0.103244,1
26.267003,-0.164826,-0.164826,0.000000,-3.954340,-1.501267,-0.052919,1
26.268003,-0.110900,-0.110900,0.000000,-3.955874,-1.568407,-0.040468,1
26.269004,-0.033795,-0.033795,0.000000,-3.957408,-1.501267,-0.091311,1
26.270004,0.065936,0.065936,0.000000,-3.958942,-1.542894,-0.097018,1
26.271004,0.186983,0.186983,0.000000,-3.960476,-1.792657,-0.151494,1
