timestamp,cmd_torque,target_position,position,velocity,estimated_torque,valid
14.595004,-0.765182,0.000000,4.211673,2.823939,-0.199225,1
14.596004,-0.695629,0.000000,4.214741,3.127415,-0.153050,1
14.597004,-0.646341,0.000000,4.217809,2.831996,-0.146306,1
14.598004,-0.623000,0.000000,4.220493,2.791711,-0.141636,1
14.599004,-0.630418,0.000000,4.223178,2.786340,-0.100650,1
14.600004,-0.672456,0.000000,4.225863,2.727256,-0.057588,1
14.601010,-0.752220,0.000000,4.228547,2.681600,-0.033723,1
14.602026,-0.872232,0.000000,4.231232,2.610431,0.031129,1
14.603017,-1.027333,0.000000,4.233916,2.682943,0.051363,1
14.604023,-1.221109,0.000000,4.236217,2.480178,-0.024384,1
14.605016,-1.445379,0.000000,4.238518,2.588946,0.007782,1
14.606020,-1.700821,0.000000,4.240819,2.302927,-0.015564,1
14.607050,-1.986438,0.000000,4.243120,2.250557,-0.067446,1
14.608019,-2.270807,0.000000,4.245421,2.176702,-0.111026,1
14.609010,-2.569748,0.000000,4.247339,2.058535,-0.150456,1
14.610007,-2.870988,0.000000,4.249256,1.972594,-0.258370,1
14.611018,-3.168638,0.000000,4.251174,1.798029,-0.477828,1
14.612007,-3.444419,0.000000,4.252708,1.474410,-0.687948,1
14.613005,-3.699661,0.000000,4.253859,1.411298,-0.879910,1
14.614004,-3.925471,0.000000,4.254626,1.009796,-1.087436,1
14.615004,-4.115665,0.000000,4.255393,0.778832,-1.215583,1
14.616004,-4.265607,0.000000,4.255776,0.366588,-1.273171,1
14.617004,-4.371923,0.000000,4.255393,-0.269906,-1.225959,1
14.618004,-4.432863,0.000000,4.254626,-0.683493,-1.144505,1
14.619004,-4.448212,0.000000,4.253859,-0.777490,-1.066683,1
14.620012,-4.418840,0.000000,4.253092,-0.919828,-1.036073,1
14.621012,-4.347993,0.000000,4.251174,-1.388470,-1.035554,1
14.622013,-4.239318,0.000000,4.249640,-1.634205,-1.030885,1
14.623013,-4.098500,0.000000,4.247722,-1.890683,-0.988861,1
14.624010,-3.931570,0.000000,4.245421,-1.943052,-0.980041,1
14.625009,-3.744541,0.000000,4.243120,-2.490921,-0.947874,1
14.626009,-3.544253,0.000000,4.240052,-2.623859,-0.905332,1
14.627013,-3.337034,0.000000,4.237368,-2.764855,-0.855525,1
14.628004,-3.132865,0.000000,4.234300,-3.202612,-0.837367,1
14.629004,-2.933572,0.000000,4.231232,-3.373150,-0.856563,1
14.630004,-2.746013,0.000000,4.227780,-3.436262,-0.727378,1
14.631004,-2.574559,0.000000,4.223561,-3.808222,-0.770440,1
14.632005,-2.422129,0.000000,4.220110,-3.703482,-0.822321,1
14.633004,-2.290840,0.000000,4.216275,-3.984130,-0.756432,1
14.634005,-2.180725,0.000000,4.212056,-4.080813,-0.746574,1
14.635004,-2.091260,0.000000,4.207838,-4.310434,-0.686392,1
14.636004,-2.020149,0.000000,4.203236,-4.256722,-0.721671,1
14.637012,-1.963855,0.000000,4.199017,-4.366832,-0.667714,1
